abstract,fus_related
"We investigated the effect of low-intensity focused ultrasound (LIFU) on gene expression related to alcohol dependence and histological effects on brain tissue. We also aimed at determining the miRNA-mRNA relationship and their pathways in alcohol dependence-induced expression changes after focused ultrasound therapy. We designed a case-control study for 100 days of observation to investigate differences in gene expression in the short-term stimulation group (STS) and long-term stimulation group (LTS) compared with the control sham group (SG). The study was performed in our Experimental Research Laboratory. 24 male high alcohol-preferring rats 63 to 79 days old, weighing 270 to 300 g, were included in the experiment. LTS received 50-day LIFU and STS received 10-day LIFU and 40-day sham stimulation, while the SG received 50-day sham stimulation. In miRNA expression analysis, it was found that LIFU caused gene expression differences in NAc. Significant differences were found between the groups for gene expression. Compared to the SG, the expression of 454 genes in the NAc region was changed in the STS while the expression of 382 genes was changed in the LTS. In the LTS, the expression of 32 genes was changed in total compared to STS. Our data suggest that LIFU targeted on NAc may assist in the treatment of alcohol dependence, especially in the long term possibly through altering gene expression. Our immunohistochemical studies verified that LIFU does not cause any tissue damage. These findings may lead to new studies in investigating the efficacy of LIFU for the treatment of alcohol dependence and also for other psychiatric disorders.",1
"The blood-brain barrier (BBB) protects the brain but is also an important obstacle for the effective delivery of therapeutics in Alzheimer's disease and other neurodegenerative disorders. Transcranial magnetic resonance-guided focused ultrasound (MRgFUS) has been shown to reversibly disrupt the BBB. However, treatment of diffuse regions across the brain along with the effect on Alzheimer's disease relevant pathology need to be better characterized. This study is an open-labelled single-arm trial (NCT04118764) to investigate the feasibility of modulating BBB permeability in the default mode network and the impact on cognition, amyloid and tau pathology as well as BBB integrity. Nine participants [mean age 70.2 ± 7.2 years, mean Mini-Mental State Examination (MMSE) 21.9] underwent three biweekly procedures with follow-up visits up to 6 months. The BBB permeability of the bilateral hippocampi, anterior cingulate cortex and precuneus was transiently increased without grade 3 or higher adverse events. Participants did not experience worsening trajectory of cognitive decline (ADAS-cog11, MMSE). Whole brain vertex-based analysis of the 18F-florbetaben PET imaging demonstrated clusters of modest SUVR reduction in the right parahippocampal and inferior temporal lobe. However, CSF and blood biomarkers did not demonstrate any amelioration of Alzheimer's disease pathology (P-tau181, amyloid-β42/40 ratio), nor did it show persistent BBB dysfunction (plasma PDGFRbeta and CSF-to-plasma albumin ratio). This study provides neuroimaging and fluid biomarker data to characterize the safety profile of MRgFUS BBB modulation in neurodegeneration as a potential strategy for enhanced therapeutic delivery.",1
"OBJECTIVE: Alzheimer's disease (AD) is often associated with neuropsychiatric symptoms, including agitation and aggressive behavior. These symptoms increase with disease severity, ranging from 10% in mild cognitive impairment to 50% in patients with moderate-to-severe AD, pose a great risk for self-injury and injury to caregivers, result in high rates of institutionalization and great suffering for patients and families. Current pharmacological therapies have limited efficacy and a high potential for severe side effects. Thus, there is a growing need to develop novel therapeutics tailored to safely and effectively reduce agitation and aggressive behavior in AD. Here, we investigate for the first time the use of focused ultrasound combined with anesthetic-loaded nanodroplets (nanoFUS) targeting the amygdala (key structure in the neurocircuitry of agitation) as a novel minimally invasive tool to modulate local neural activity and reduce agitation and aggressive behavior in the TgCRND8 AD transgenic mice. METHODS: Male and female animals were tested in the resident-intruder (i.e., aggressive behavior) and open-field tests (i.e., motor agitation) for baseline measures, followed by treatment with active- or sham-nanoFUS. Behavioral testing was then repeated after treatment. RESULTS: Active-nanoFUS neuromodulation reduced aggressive behavior and agitation in male mice, as compared to sham-treated controls. Treatment with active-nanoFUS increased the time male mice spent in social-non-aggressive behaviors. INTERPRETATION: Our results show that neuromodulation with active-nanoFUS may be a potential therapeutic tool for the treatment of neuropsychiatric symptoms, with special focus on agitation and aggressive behaviors. Further studies are necessary to establish cellular, molecular and long-term behavioral changes following treatment with nanoFUS.",1
"Background Neurodegenerative disorders (such as Alzheimer disease) characterized by the deposition of various pathogenic forms of tau protein in the brain are collectively referred to as tauopathies. Identification of the molecular drivers and pathways of neurodegeneration is critical to individualized targeted treatment of these disorders. However, despite important advances in fluid biomarker detection, characterization of these molecular subtypes is limited by the blood-brain barrier. Purpose To evaluate the feasibility and safety of focused ultrasound-mediated liquid biopsy (sonobiopsy) in the detection of brain-derived protein biomarkers in a transgenic mouse model of tauopathy (PS19 mice). Materials and Methods Sonobiopsy was performed by sonicating the cerebral hemisphere in 2-month-old PS19 and wild-type mice, followed by measurement of plasma phosphorylated tau (p-tau) species (30 minutes after sonication in the sonobiopsy group). Next, spatially targeted sonobiopsy was performed by sonicating either the cerebral cortex or the hippocampus in 6-month-old PS19 mice. To detect changes in plasma neurofilament light chain (a biomarker of neurodegeneration) levels, blood samples were collected before and after sonication (15 and 45-60 minutes after sonication). Histologic staining was performed to evaluate tissue damage after sonobiopsy. The Shapiro-Wilk test, unpaired and paired t tests, and the Mann-Whitney U test were used. Results In the 2-month-old mice, sonobiopsy significantly increased the normalized levels of plasma p-tau species compared with the conventional blood-based liquid biopsy (p-tau-181-to-mouse tau [m-tau] ratio: 1.7-fold increase, P = .006; p-tau-231-to-m-tau ratio: 1.4-fold increase, P = .048). In the 6-month-old PS19 mice, spatially targeted sonobiopsy resulted in a 2.3-fold increase in plasma neurofilament light chain after sonication of the hippocampus and cerebral cortex (P < .001). After optimization of the sonobiopsy parameters, no excess microhemorrhage was observed in the treated cerebral hemisphere compared with the contralateral side. Conclusion This study showed the feasibility of sonobiopsy to release phosphorylated tau species and neurofilament light chain to the blood circulation, potentially facilitating diagnosis of neurodegenerative disorders. © RSNA, 2023 Supplemental material is available for this article. See also the editorial by Fowlkes in this issue.",1
"BACKGROUND: Coronary microthromboembolism after acute myocardial infarction (AMI) requires urgent and effective treatment. Early and effective recovery of coronary microcirculation perfusion for the management of AMI would be crucial for better prognosis. Ultrasound assisted thrombolysis in the in-vitro experiments have great potential for the elimination of acute coronary microthromboembolism, especially with stable cavitation using low-intensity focused ultrasound (LIFU) and dodecafluoropentane-loaded acoustic phase-change nanoparticles (DDFP@NPs). Therefore, our study sought to perform animal experiments using this novel treatment method in a porcine model with acute coronary microthromboembolism for further investigation of potential therapeutic values. METHODS: Porcine model with acute coronary thromboembolism was established using percutaneous coronary intervention and autologous thrombus injection. For ultrasound assisted thrombolysis, DDFP@NPs were prepared by rotary evaporation and sonication process, and LIFU was optimized. Echocardiography and TTC staining were performed for the evaluation of porcine model establishment and treatment effect. RESULTS: The treatment using LIFU guided DDFP@NPs had almost completely recanalized culprit coronary branch after treatment procedure, and smaller infarcted size (5.4 ± 1.0%), better LVEF (52.5 ± 1.8%) and better coronary microcirculation after 28 days of treatment, which outperformed treatments using LIFU+SonoVue microbubbles (infarcted size: 26.4 ± 3.5% and LVEF: 37.2 ± 3.1%) and LIFU only (infarcted size: 32.2 ± 3.1% and LVEF: 32.2 ± 0.4%) (all P < 0.05), while the treatment effect were similar to treatment using intravenous tissue-plasminogen activator (infarcted size: 4.9 ± 0.9% and LVEF: 53.1 ± 1.1%) (all P > 0.05). CONCLUSIONS: Our study has innovatively established a treatment method using DDFP@NPs combined with LIFU irradiation for coronary thrombolysis and verified its treatment effect with high-efficient thrombolysis in the in-vivo experiments, which can be considered as powerful experimental evident of the novel method for potential clinical use of acute coronary thrombolysis. Multidimensional experimental investigations and cautious verification may need before the method could be used as treatment before preliminary clinical trials.",1
"OBJECTIVES: MR imaging-guided focused ultrasound surgery (MRgFUS) is an emerging non-invasive treatment. It is helpful in investigating the mid-term grading efficacy and safety of MRgFUS, and possible risk factors in participants with painful bone metastases. METHODS: This four-center prospective study enrolled 96 participants between June 2016 and May 2019 with painful bone metastases. The Numerical Rating Scale (NRS), Brief Pain Inventory-Quality of Life (BPI-QoL) score, morphine equivalent daily dose (MEDD), and the adverse events (AEs) were recorded before and at 1 week, 1 month, 2 months, and 3 months after MRgFUS. The repeated ANOVA tests were used to analyze the change in NRS and BPI-QoL, and logistic regression analysis was used to analyze the possible risk factors. RESULTS: A total of 82 participants completed the 3-month follow-up period. And 16 (19.5%) participants were complete responders (CR), 46 (56.1%) participants were effective responders (ER), and the other 20 (24.4%) participants were non-responders (NR). The NRS (2.67 ± 2.47 at 3 months compared to 6.38 ± 1.70 before treatment) and BPI-QoL score (3.11 ± 2.51 at 3 months compared to 5.40 ± 1.85 before treatment) significantly decreased after the treatment at all time points (p < 0.001). Eleven adverse events were recorded and they were all cured within 1 to 52 days after treatment. The non-perfused volume (NPV) ratio (p = 0.001) and the bone metastases lesion type (p = 0.025) were the key risk factors. CONCLUSIONS: MRgFUS can be used as a non-invasive, effective, and safe modality to treat painful bone metastases. NPV ratio and the lesion type may be used as affecting factors to predict the mid-term efficacy of MRgFUS. KEY POINTS: • MRgFUS can be considered a non-invasive, effective, and safe modality to treat painful bone metastases. • The NRS and BPI-QoL score at 1 week, 1 month, 2 months, and 3 months all decreased significantly (p < 0.001) after receiving MRgFUS. Among 82 participants, 16 (19.5%) were complete responders, 46 (56.1%) were effective responders, and the other 20 (24.4%) were non-responders. • According to logistic regression analysis, non-perfused volume ratio and the bone metastases lesion type were the affecting factors to predict the mid-term efficacy of MRgFUS. The adjusted OR of non-perfused volume ratio was 0.86 (p = 0.001), and osteoblastic lesion type was 0.06 (p = 0.025).",1
"Background Recent consensus statements and clinical trials have assessed the value of MRI-guided focused ultrasound surgery for pain palliation of bone metastases; however, a comparison with external beam radiation therapy (EBRT) has not been performed. Purpose To compare safety and effectiveness data of MRI-guided focused ultrasound and EBRT in the treatment of bone metastases. Materials and Methods Participants with painful bone metastases, excluding skull and vertebral bodies, were enrolled in a prospective open-label nonrandomized phase II study between January 2017 and May 2019 and underwent either MRI-guided focused ultrasound or EBRT. The primary end point was the overall response rate at 1-month following treatment, assessed via the numeric rating scale (NRS) for pain (0-10 scale, with zero meaning ""no pain"" and 10 meaning ""the worst pain imaginable""). Secondary end points were improvements at 12-month follow-up in NRS and quality of life (QoL) measures, including the Brief Pain Inventory (BPI), QoL-Questionnaire Cancer-15 Palliative Care (QLQ-C15-PAL), and QoL-Questionnaire Bone Metastases-22 (QLQ-BM22) and analysis of adverse events. Statistical analyses, including linear regression, χ2 test, and Student t test followed the per-protocol principle. Results Among 198 participants, 100 underwent MRI-guided focused ultrasound (mean age, 63 years ± 13 [SD]; 51 women), and 98 underwent EBRT (mean age, 65 years ± 14; 52 women). The overall response rates at 1-month follow-up were 91% (91 of 100) and 67% (66 of 98), respectively, in the focused ultrasound and EBRT arms (P < .001), and complete response rates were 43% (43 of 100) and 16% (16 of 98) (P < .001). The mean baseline NRS score was 7.0 ± 2.1 for focused ultrasound and 6.6 ± 2.4 for EBRT (P = .16); at 1-month follow-up, they were reduced to 3.2 ± 0.3 and 5.1 ± 0.3 (P < .001), respectively. QLQ-C15-PAL for physical function (P = .002), appetite (P < .001), nausea and vomiting (P < .001), dyspnea (P < .001), and QoL (P < .001) scores were lower in the focused ultrasound group. The overall adverse event rates were 15% (15 of 100) after focused ultrasound and 24% (24 of 98) after EBRT. Conclusion MRI-guided focused ultrasound surgery and external beam radiation therapy showed similar improvements in pain palliation and quality of life, with low adverse event rates. © RSNA, 2023 Supplemental material is available for this article. See also the editorial by Kelekis in this issue.",1
"Magnetic resonance imaging-guided high-intensity focused ultrasound (MR-HIFU) is an innovative treatment for patients with painful bone metastases. The adoption of MR-HIFU will be influenced by several factors beyond its effectiveness. To identify contextual factors affecting the adoption of MR-HIFU, we conducted a group concept mapping (GCM) study in four European countries. The GCM was conducted in two phases. First, the participants brainstormed statements guided by the focus prompt ""One factor that may influence the uptake of MR-HIFU in clinical practice is..."". Second, the participants sorted statements into categories and rated the statements according to their importance and changeability. To generate a concept map, multidimensional scaling and cluster analysis were conducted, and average ratings for each (cluster of) factors were calculated. Forty-five participants contributed to phase I and/or II (56% overall participation rate). The resulting concept map comprises 49 factors, organized in 12 clusters: ""competitive treatments"", ""physicians' attitudes"", ""alignment of resources"", ""logistics and workflow"", ""technical disadvantages"", ""radiotherapy as first-line therapy"", ""aggregating knowledge and improving awareness"", ""clinical effectiveness"", ""patients' preferences"", ""reimbursement"", ""cost-effectiveness"" and ""hospital costs"". The factors identified echo those from the literature, but their relevance and interrelationship are case-specific. Besides evidence on clinical effectiveness, contextual factors from 10 other clusters should be addressed to support adoption of MR-HIFU.",1
"The aim of this study was to ascertain the safety of high-intensity focused ultrasound (HIFU) for high-grade cervical intraepithelial neoplasia grade 2/3 (CIN 2/3) in patients with fertility requirements. This was a prospective one-arm study. Consecutive CIN 2/3 patients diagnosed with histopathology were screened, enrolled and treated from September 2019 to September 2020 in the Affiliated Hospital of North Sichuan Medical College. All patients were treated with a combination of HIFU and antiviral treatment with REBACIN. The scheduled follow-up visits were 1 week, 1 mo, 3 mo, 6 mo and 12 mo after surgery. The primary outcomes included cure and human papillomavirus clearance rates. We screened 287 consecutive CIN 2/3 patients in our hospital, 29 of whom were enrolled and treated in this study. The cure rate reached 82.8% at 7 mo after treatment and 96.6% within 1 y. The HPV-negative rate reached 72.4% (21/29) around 6 mo after treatment, with mild side effects during and after the procedure. Our study suggests that in CIN 2/3 study participants with fertility requirements, HIFU + REBACIN therapy is a safe and effective therapeutic option with a high cure rate, HPV clearance and few side effects.",1
"BACKGROUND: In this study, the changes of vaginal microbiome after focused ultrasound (FU) treatment were evaluated to explore the possible mechanism of FU in the treatment of high-risk human papillomavirus (HR-HPV) infection. METHODS: This study was nested in the FU arm of a prospective cohort study. A total of 37 patients diagnosed with HR-HPV infection-related cervical low-grade squamous intraepithelial lesion (LSIL) who met the inclusion criteria were enrolled in this study from October 2020 to November 2021, and these patients were treated with FU. We used 16S ribosomal RNA (16S rRNA) gene amplicon sequencing to profile the vaginal microbiota composition of patients before and 3 months after FU treatment. RESULTS: After FU treatment, HR-HPV was cleared in 24 patients, with a clearance rate of 75.0% (24/32). Lactobacillus iners was the predominant species among all samples. No significant difference was found in alpha-diversity index before and 3 months after FU treatment (P > 0.05), but the rarefaction curves showed that the vaginal microbial diversity before FU treatment was higher than that after FU treatment. Linear discriminant analysis (LDA) effect size (LEfSe) showed that Bifidobacterium contributed the most to the difference between the two groups at the genus level, and the abundance after FU treatment was significantly higher than that before treatment (P = 0.000). CONCLUSIONS: The decrease of vaginal microbial diversity may be related to the clearance of HR-HPV infection, and FU treatment contributed to the decrease of vaginal microbial diversity. Increased Bifidobacterium abundance in the vaginal microbiome may be associated with clearance of HR-HPV infection, and FU treatment may contribute to the increase in Bifidobacterium abundance. TRIAL REGISTRATION NUMBER:  This study was registered in the Chinese Clinical Trial Registry on 23/11/2020 (ChiCTR2000040162).",1
