abstract,fus_related
"Focused ultrasound (FUS)-enabled liquid biopsy (sonobiopsy) is an emerging technique for the noninvasive and spatiotemporally controlled diagnosis of brain cancer by inducing blood-brain barrier (BBB) disruption to release brain tumor-specific biomarkers into the blood circulation. The feasibility, safety, and efficacy of sonobiopsy were demonstrated in both small and large animal models using magnetic resonance-guided FUS devices. However, the high cost and complex operation of magnetic resonance-guided FUS devices limit the future broad application of sonobiopsy in the clinic. In this study, a neuronavigation-guided sonobiopsy device is developed and its targeting accuracy is characterized in vitro, in vivo, and in silico. The sonobiopsy device integrated a commercially available neuronavigation system (BrainSight) with a nimble, lightweight FUS transducer. Its targeting accuracy was characterized in vitro in a water tank using a hydrophone. The performance of the device in BBB disruption was verified in vivo using a pig model, and the targeting accuracy was quantified by measuring the offset between the target and the actual locations of BBB opening. The feasibility of the FUS device in targeting glioblastoma (GBM) tumors was evaluated in silico using numerical simulation by the k-Wave toolbox in glioblastoma patients. It was found that the targeting accuracy of the neuronavigation-guided sonobiopsy device was 1.7 ± 0.8 mm as measured in the water tank. The neuronavigation-guided FUS device successfully induced BBB disruption in pigs with a targeting accuracy of 3.3 ± 1.4 mm. The targeting accuracy of the FUS transducer at the GBM tumor was 5.5 ± 4.9 mm. Age, sex, and incident locations were found to be not correlated with the targeting accuracy in GBM patients. This study demonstrated that the developed neuronavigation-guided FUS device could target the brain with a high spatial targeting accuracy, paving the foundation for its application in the clinic.",0
"OBJECTIVE: High-intensity focused ultrasound (HIFU) followed by curettage or uterine artery embolization (UAE) followed by curettage are relatively effective methods for cesarean scar pregnancy (CSP), which can provide a high success rate and repregnancy while reducing blood loss and adverse events. Therefore, we conducted this meta-analysis to evaluate the efficacy, safety, and pregnancy outcomes of HIFU groups versus UAE groups with CSP. DATA SOURCES: The PubMed, EMBASE, Cochrane, China National Knowledge Infrastructure, and Wanfang databases were systematically searched to find studies that compared the therapeutic effects of HIFU groups versus UAE groups. METHODS OF STUDY SELECTION: Our primary end points were blood loss, adverse events, success rate, and repregnancy. We implemented random-effects models or fixed-effects models to evaluate the pooled data. TABULATION, INTEGRATION, AND RESULTS: Thirty-four eligible items were included in studies. The blood loss was significantly reduced in HIFU groups compared with UAE groups (standardized mean difference = -1.45, 95% confidence interval [CI], 2.21 to -0.68; p <.001). Significantly fewer adverse events occurred in the HIFU groups than in UAE groups (odds ratio [OR] = 0.36, 95% CI, 0.23-0.57; p <.001). The success rate of HIFU groups was higher than that of UAE groups (OR = 1.56, 95% CI, 1.05-2.32; p = .03). There were more pregnancies in HIFU groups than in UAE groups (OR = 1.64, 95% CI, 1.28-2.11; p <.001). CONCLUSION: In the CSP, the effect of HIFU groups was better than that of UAE groups: less blood loss, high success rate, fewer adverse events, and favorable fertility protection. Thus, it is a promising therapeutic method for patients.",0
"Luminol is a classic electrochemiluminescence (ECL) luminophore. The luminol-O2 ECL system suffers from a problem, that is, the conversion rate of dissolved O2 into reactive oxygen species (ROS) is low. In this work, we used high-intensity focused ultrasound (HIFU) pretreatment combined with Ti3C2-TiO2 to construct a highly sensitive luminol-O2 ECL system for the specific detection of polynucleotide kinase (PNK) first. On the one hand, HIFU generated ROS in situ as a coreactant via the cavitation effect to boost the luminol emission. On the other hand, Ti3C2-TiO2 was prepared in situ via Ti3C2 as a reducing agent, and it can aggregate and catalyze ROS generated in situ by HIFU. Moreover, the Ti on the Ti3C2-TiO2 surface could bind to phosphate groups through chelation, thereby realizing highly specific detection of PNK. The sensor has a linear relationship range of 1.0 × 10-5 to 10.0 U mL-1, and the limit of detection is 1.48 × 10-7 U mL-1, which is superior to most existing methods. The sensor performance in HeLa cell lysate was measured with a satisfactory result. The designed ECL biosensor has potential applications in biological analysis and clinical diagnosis.",0
"BabelBrain is an open-source standalone graphic-user-interface application designed for studies of neuromodulation using transcranial focused ultrasound. It calculates the transmitted acoustic field in the brain tissue, taking into account the distortion effects caused by the skull barrier. The simulation is prepared using scans from magnetic resonance imaging (MRI) and, if available, computed tomography and zero-echo time MRI scans. It also calculates the thermal effects based on a given ultrasound regime, such as the total duration of exposure, the duty cycle, and acoustic intensity. The tool is designed to work in tandem with neuronavigation and visualization software, such as 3DSlicer. It uses image processing to prepare domains for ultrasound simulation and uses the BabelViscoFDTD library for transcranial modeling calculations. BabelBrain supports multiple GPU backends, including Metal, OpenCL, and CUDA, and works on all major operating systems including Linux, macOS, and Windows. This tool is particularly optimized for Apple ARM64 systems, which are common in brain imaging research. The paper presents the modeling pipeline used in BabelBrain and a numerical study where different methods of acoustic properties mapping were tested to select the best method that can reproduce the transcranial pressure transmission efficiency reported in the literature.",0
"Focused ultrasound is a novel technique for the treatment of aggressive brain tumors that uses both mechanical and thermal mechanisms. This non-invasive technique can allow for both the thermal ablation of inoperable tumors and the delivery of chemotherapy and immunotherapy while minimizing the risk of infection and shortening the time to recovery. With recent advances, focused ultrasound has been increasingly effective for larger tumors without the need for a craniotomy and can be used with minimal surrounding soft tissue damage. Treatment efficacy is dependent on multiple variables, including blood-brain barrier permeability, patient anatomical features, and tumor-specific features. Currently, many clinical trials are currently underway for the treatment of non-neoplastic cranial pathologies and other non-cranial malignancies. In this article, we review the current state of surgical management of brain tumors using focused ultrasound.",0
"Purpose: The application of high-intensity focused ultrasound (HIFU) in hepatocellular carcinoma (HCC) was promising. However, whether the effect of HIFU is comparable with that of transarterial chemoembolization (TACE) has not been determined.Materials and methods: PubMed, Embase, Cochrane Library, Web of Science, WanFang Data, CqVip, CNKI, and CBM databases were searched for randomized controlled trials (RCTs), cohort studies, and case-control studies. The methodological quality of each study was evaluated. When there is no statistical heterogeneity, the fixed effect model would be used to merge data. Otherwise, the random effect model would be utilized. Sensitivity analyses were conducted by excluding one study each time. Subgroup analyses were conducted based on age, sex, tumor number, relative number of the patients with Child-Pugh C grade in each group, the percentage of patients with Child-Pugh C grade in the whole study, and tumor load. Publication bias was evaluated by Egger's test and Begg's test.Results: Six cohort studies including 188 patients from HIFU group and 224 patients from TACE group were obtained for further analysis. The meta-analysis suggested HIFU and TACE showed no differences in postoperative 1-year overall survival (OS) rate, tumor response (including complete response, partial response, stable disease, and progressive disease), and postoperative complications. Moreover, compared with TACE, HIFU showed higher postoperative 6-month and 2-year OS rates. Subgroup analyses, meta regression analysis and sensitivity analyses indicated the findings above were reliable. Additionally, no potential publication bias was detected.Conclusion: For HCC, when compared with TACE, HIFU might show comparable safety but better effect. Considering the limitations of current studies, more well-designed studies are needed to validate our conclusion.",0
"Historically, pathological brain lesions provided the foundation for localization of symptoms and therapeutic lesions were used as a treatment for brain diseases. New medications, functional neuroimaging and deep brain stimulation led to a decline in lesions in the past few decades. However, recent advances have improved our ability to localize lesion-induced symptoms, including localization to brain circuits rather than individual brain regions. Improved localization can lead to more precise treatment targets, which may mitigate traditional advantages of deep brain stimulation over lesions such as reversibility and tunability. New tools for creating therapeutic brain lesions such as high intensity focused ultrasound allow for lesions to be placed without a skin incision and are already in clinical use for tremor. Although there are limitations and caution is warranted, improvements in lesion-based localization are refining our therapeutic targets and improved technology is providing new ways to create therapeutic lesions, which together may facilitate the return of the lesion.",0
"Transcranial ultrasound is more and more used for therapy and imaging of the brain. However, the skull is a highly attenuating and aberrating medium, with different structures and acoustic properties among samples and even within a sample. Thus, case-specific simulations are needed to perform transcranial focused ultrasound interventions safely. In this article, we provide a review of the different methods used to model the skull and to simulate ultrasound propagation through it.",0
"In recent years, veterinary medicine has expanded its practices beyond conventional methods, gradually integrating the Focused Ultrasound (FUS) technology in the care of companion animals like dogs and cats. The current study aimed to examine the feasibility and provide insights into the application of thermal FUS in canine and feline mammary cancer therapy. FUS was delivered by a 2-MHz single-element spherically focused ultrasonic transducer as integrated with an existing robotic positioning device. The functionality of the FUS system and sonication protocol in efficiently and safely ablating live tissue was initially validated in a rabbit thigh model in a laboratory environment. Nine (9) dogs and cats with superficial mammary cancer were recruited through a dedicated campaign according to specific safety criteria. The veterinary patients underwent FUS ablation followed by immediate surgical resection of the entire malignancy. Histopathology examination demonstrated well-defined regions of coagulative necrosis in all treated tumors with no off-target damage. Further study with a larger patient population is needed to confirm the current findings and demonstrate the safety and feasibility of complete FUS ablation of deep-seated tumors.",0
"Low-grade gliomas (LGGs) are slow-growing tumors in the central nervous system (CNS). Patients characteristically show the onset of seizures or neurological deficits due to the predominant LGG location in high-functional brain areas. As a molecular hallmark, LGGs display mutations in the isocitrate dehydrogenase (IDH) enzymes, resulting in an altered cellular energy metabolism and the production of the oncometabolite D-2-hydroxyglutarate. Despite the remarkable progress in improving the extent of resection and adjuvant radiotherapy and chemotherapy, LGG remains incurable, and secondary malignant transformation is often observed. Therefore, novel therapeutic approaches are urgently needed. In recent years, immunotherapeutic strategies have led to tremendous success in various cancer types, but the effect of immunotherapy against glioma has been limited due to several challenges, such as tumor heterogeneity and the immunologically ""cold"" tumor microenvironment. Nevertheless, recent preclinical and clinical findings from immunotherapy trials are encouraging and offer a glimmer of hope for treating IDH-mutant LGG patients. Here, we aim to review the lessons learned from trials involving vaccines, T-cell therapies, and IDH-mutant inhibitors and discuss future approaches to enhance the efficacy of immunotherapies in IDH-mutant LGG.",0
