,Abstract Note,fus_related
0,"OBJECTIVE: To critically appraise and quantify the performance studies by employing machine learning (ML) to predict delirium. DESIGN: A systematic review and meta-analysis. SETTING AND PARTICIPANTS: Articles reporting the use of ML to predict delirium in adult patients were included. Studies were excluded if (1) the primary goal was only the identification of various risk factors for delirium; (2) the full-text article was not found; and (3) the article was published in a language other than English/Chinese. METHODS: PubMed, Embase, Cochrane Library database, Web of Science, Grey literature, and other relevant databases for the related publications were searched (from inception to December 15, 2021). The data were extracted using a standard checklist, and the risk of bias was assessed through the prediction model risk of bias assessment tool. Meta-analysis with the area under the receiver operating characteristic curve, sensitivity, and specificity as effect measures, was performed with Metadisc software. Cochran Q and I2 statistics were used to assess the heterogeneity. Meta-regression was performed to determine the potential effect of adjustment for the key covariates. RESULTS: A total of 22 studies were included. Only 4 of 22 studies were quantitatively analyzed. The studies varied widely in reporting about the study participants, features and selection, handling of missing data, sample size calculations, and the intended clinical application of the model. For ML models, the overall pooled area under the receiver operating characteristic curve for predicting delirium was 0.89, sensitivity 0.85 (95% confidence interval 0.84‒0.85), and specificity 0.80 (95% confidence interval 0.81-0.80). CONCLUSIONS AND IMPLICATIONS: We found that the ML model showed excellent performance in predicting delirium. This review highlights the potential shortcomings of the current approaches, including low comparability and reproducibility. Finally, we present the various recommendations on how these challenges can be effectively addressed before deploying these models in prospective analyses.",0
2,"OBJECTIVES: To determine whether there are clinically relevant and reproducible Vasoactive Inotrope Score (VIS) trajectories in children with shock during the acute phase of critical illness. DESIGN: Retrospective, observational cohort study. SETTING: Two tertiary, academic PICUs. PATIENTS: Children (< 18 yr old) who required vasoactive infusions within 24 hours of admission to the PICU. Those admitted post cardiac surgery were excluded. INTERVENTIONS: None. MEASUREMENTS AND MAIN RESULTS: An hourly VIS was calculated for the first 72 hours after initiation of vasoactives. Group-based trajectory modeling (GBTM) was applied to a derivation set (75% of encounters) and compared with the trajectories in a validation set (25% of encounters) using the same variables. The primary outcome was in-hospital mortality, and the secondary outcome was multiple organ dysfunction syndrome (MODS) on day 7. A total of 1,828 patients met inclusion criteria, and 309 (16.9%) died. GBTM identified four subgroups that were reproducible in the validation set: ""Mild, fast resolving shock"" (n = 853 [47%]; mortality 9%), ""Moderate, slow resolving shock"" (n = 422 [23%]; mortality 15%), ""Moderate, prolonged shock"" (n = 312 [17%]; mortality 21%), and ""Severe, prolonged shock"" (n = 241 [13%]; mortality 40%). There was a significant difference in mortality, MODS on day 7, and suspected infection (p < 0.001) across groups. The ""Mild, fast resolving shock"" and ""Severe, prolonged shock"" groups were identifiable within the first 24 hours. The ""Moderate, slow resolving"" and ""Moderate, prolonged shock"" groups were indistinguishable in the first 24 hours after initiation of vasoactives but differed in in-hospital mortality and MODS on day 7. Hydrocortisone administration was independently associated with poor outcomes in the ""Mild, fast resolving shock"" group. CONCLUSIONS: We uncovered four distinct and reproducible VIS trajectory groups that were associated with different risk factors, response to therapy, and outcomes in children with shock. Characterizing VIS trajectory groups in the acute phase of critical illness may enable better prognostication and more targeted management.",0
3,"Rationale: Delirium severity and duration are independently associated with higher mortality and morbidity. No studies to date have described a delirium trajectory by integrating both severity and duration.Objectives: The primary aim was to develop delirium trajectories by integrating symptom severity and duration. The secondary aim was to investigate the association among trajectory membership, clinical characteristics, and 30-day mortality.Methods: A secondary analysis of the PMD (Pharmacologic Management of Delirium) randomized control trial (ClinicalTrials.gov Identifier: NCT00842608; N = 531) was conducted. The presence of delirium and symptom severity were measured at least daily for 7 days using the Confusion Assessment Method for the intensive care unit (CAM-ICU) and CAM-ICU-7 (on a scale of 0-7, with 7 being the most severe). Delirium trajectories were defined using an innovative, data-driven statistical method (group-based trajectory modeling [GBTM]) and SAS v9.4.Results: A total of 531 delirious participants (mean age 60 yr [standard deviation = 16], 55% female, and 46% African American) were analyzed. Five distinct delirium trajectories were described (CAM-ICU-7: mean [standard deviation]); mild-brief (CAM-ICU-7: 0.5 [0.5]), severe-rapid recovers (CAM-ICU-7: 2.1 [1.0]), mild-accelerating (CAM-ICU-7: 2.2 [0.9]), severe-slow recovers (CAM-ICU-7: 3.9 [0.9]), and severe-nonrecovers (CAM-ICU-7: 5.9 [1.0]). Baseline cognition and race were associated with trajectory membership. Trajectory membership independently predicted 30-day mortality while controlling for age, sex, race, cognition, illness severity, and comorbidities.Conclusions: This secondary analysis described five distinct delirium trajectories based on delirium symptom severity and duration using group-based trajectory modeling. Trajectory membership predicted 30-day mortality.",0
4,"Delirium severity has been associated with a higher risk of mortality and an increasing morbidity burden. Recently defined delirium severity trajectories were predictive of 30-day mortality in a critically ill patient population. No studies to date have examined associations between delirium severity trajectories and 2-year mortality and healthcare utilization outcomes. OBJECTIVES: To examine the associations between recently defined delirium severity trajectories and 2-year healthcare utilization outcomes of emergency department visits, rehospitalizations, and mortality. DESIGN SETTING AND PARTICIPANTS: This is a secondary analysis using data from the randomized controlled clinical trial Pharmacological Management of Delirium in the Intensive Care Unit and Deprescribing in the Pharmacologic Management of Delirium trial conducted from 2009 to 2015. Patients who were greater than or equal to 18 years old, were in the ICU for greater than or equal to 24 hours, and had a positive delirium assessment (Confusion Assessment Method for the ICU) were included in the original trial. Participants were included in the secondary analysis if 2-year healthcare utilization and mortality data were available (n = 431). MAIN OUTCOMES AND MEASURES: Healthcare utilization data within 2 years of the initial discharge date were pulled from the Indiana Network for Patient Care. Data over a 2-year period on emergency department visits (days to first emergency department visit, number of emergency department visits), inpatient hospitalizations (days to first hospitalizations, number of hospitalizations), and mortality (time to death) were extracted. Univariate relationships, Cox proportional hazard models, and competing risk modeling were used to examine statistical relationships in SAS v9.4. RESULTS: The overall sample (n = 431) had a mean age of 60 (sd, 16), 56% were females, and 49% African-Americans. No significant associations were identified between delirium severity trajectories and time to event for emergency department visit, mortality, or rehospitalization within 2 years of the index hospital discharge. CONCLUSIONS AND RELEVANCE: This secondary analysis did not identify a significant relationship between delirium severity trajectories and healthcare utilization or mortality within 2 years of hospital discharge.",0
5,"PURPOSE: We aimed to determine any associations between delirium and comas during intensive care unit (ICU) stay, and long-term psychiatric symptoms and disability affecting activity of daily living (ADL). MATERIALS AND METHODS: In this prospective observational study, we enrolled critically ill adult patients that were emergently admitted to an ICU. We assessed psychiatric symptoms and disability affecting ADL at three and twelve months after ICU discharge. RESULTS: Among the 81 and the 47 patients that responded to the questionnaires at three and twelve months, 22 (27%) and 13 (28%) patients experienced delirium, respectively. During their ICU stay, 28 (35%) and 21 (45%) had been in comas, respectively. At three and twelve months, 51 (63%) and 23 (49%) of patients experienced composite psychiatric symptoms or disability affecting ADL, respectively. After adjusting predefined confounders, the combination of delirium and comas was an independent risk factor for the presence of composite psychiatric symptoms or disability affecting ADL (adjusted odds ratio [aOR] 3.38; 1.10-10.38 at three months; aOR 8.28; 1.48-46.46 at twelve months). CONCLUSIONS: In critically ill adults, combination of delirium and comas during ICU stay is a predictor of psychiatric symptoms or ADL disability. TRIAL REGISTRATION: UMIN Clinical Trial Registry no. UMIN000023743, September 1, 2016.",0
6,"OBJECTIVE: The investigators aimed to describe delirium etiologies and clinical characteristics, as well as the relationship between COVID-19 and delirium severities, at baseline and follow-up after delirium improvement among patients with SARS-CoV-2 infection. METHODS: A longitudinal study of 20 consecutive critically ill, delirious COVID-19 inpatients, assessed with the Charlson Comorbidity Index-Short Form (CCI-SF), COVID-19 Clinical Severity Scale (CCSS), Delirium Etiology Checklist, Delirium Motor Subtype Scale-4, and Delirium Diagnostic Tool-Provisional (DDT-Pro), was conducted. Correlational analysis of delirium severity (DDT-Pro) with each measure of clinical severity (CCI-SF and CCSS) and comparison of baseline DDT-Pro scores between patients who were living and those who were deceased at follow-up were conducted. RESULTS: Participants were 50-90 years old (male, 75%; hypertension, 60%). The prevalence of preexisting medical comorbidities (CCI-SF) was low and not correlated with delirium severity (p=0.193). Eighteen patients were on mechanical or high-flow noninvasive ventilation at baseline in the intensive care unit (ICU; CCSS scores 2-4). Delirium severity (DDT-Pro scores 0-6) correlated with COVID-19 severity (0.459, p=0.021). Delirium motor subtype was hyperactive in 75% of patients. There were three to four etiologies for delirium in each patient, most commonly organ insufficiency (100%), systemic infection (100%), and metabolic and endocrine disturbances (95%). The baseline DDT-Pro score was ≤4 for five (25%) patients who died before the final assessment, with a trend of being lower than that for survivors (χ2=3.398, p=0.065). CONCLUSIONS: Among inpatients with COVID-19, at least three different etiological categories were identified for delirium. ICU staff treating patients with severe cases of COVID-19 should anticipate a greater severity of delirium. Although multivariate analyses with larger study samples are needed, more severe delirium may herald greater risk of death among COVID-19 patients.",0
7,"BACKGROUND: Postoperative delirium is associated with an increased risk of morbidity and mortality, especially in the elderly. Delirium in the postanaesthesia care unit (PACU) could predict adverse clinical outcomes. METHODS: We investigated a potential link between intraoperative EEG patterns and PACU delirium as well as an association of PACU delirium with perioperative outcomes, readmission and length of hospital stay. The risk factors for PACU delirium were also explored. Data were collected from 626 patients receiving general anaesthesia for procedures that would not interfere with frontal EEG recording. RESULTS: Of the 626 subjects enrolled, 125 tested positive for PACU delirium. Whilst age, renal failure, and pre-existing neurological disease were associated with PACU delirium in the univariable analysis, the multivariable analysis revealed the importance of information derived from the EEG, anaesthetic technique, anaesthesia duration, and history of stroke or neurodegenerative disease. The occurrence of EEG burst suppression during maintenance [odds ratio (OR)=1.86 (1.13-3.05)] and the type of EEG emergence trajectory may be predictive of PACU delirium. Specifically, EEG emergence trajectories lacking significant spindle power were strongly associated with PACU delirium, especially in cases that involved ketamine or nitrous oxide [OR=6.51 (3.00-14.12)]. Additionally, subjects with PACU delirium were at an increased risk for readmission [OR=2.17 (1.13-4.17)] and twice as likely to stay >6 days in the hospital. CONCLUSIONS: Specific EEG patterns were associated with PACU delirium. These findings provide valuable information regarding how the brain reacts to surgery and anaesthesia that may lead to strategies to predict PACU delirium and identify key areas of investigation for its prevention.",0
8,"Longitudinal research on older persons in the medical intensive care unit (MICU) is often complicated by the time-dependent confounding of concurrently administered interventions such as medications and intubation. Such temporal confounding can bias the respective longitudinal associations between concurrently administered treatments and a longitudinal outcome such as delirium. Although marginal structural models address time-dependent confounding, their application is non-trivial and preferably justified by empirical evidence. Using data from a longitudinal study of older persons in the MICU, we constructed a plausibility score from 0 - 10 where higher values indicate higher plausibility of time-dependent confounding of the association between a time-varying explanatory variable and an outcome. Based on longitudinal plots, measures of correlation, and longitudinal regression, the plausibility scores were compared to the differences in estimates obtained with non-weighted and marginal structural models of next day delirium. The plausibility scores of the three possible pairings of daily doses of fentanyl, haloperidol, and intubation indicated the following: low plausibility for haloperidol and intubation, moderate plausibility for fentanyl and haloperidol, and high plausibility for fentanyl and intubation. Comparing multivariable models of next day delirium with and without adjustment for time-dependent confounding, only intubation's association changed substantively. In our observational study of older persons in the MICU, the plausibility scores were generally reflective of the observed differences between coefficients estimated from non-weighted and marginal structural models.",0
9,"Objectives To explore factors associated with decision-making of nurses and doctors in prescribing and administering as required antipsychotic medications to older people with delirium. Design Qualitative descriptive. Setting Two acute care hospital organisations in Melbourne, Australia. Participants Nurses and doctors were invited to participate. Semi-structured focus groups and individual interviews were conducted between May 2019 and March 2020. Interviews were audio-recorded and transcribed verbatim. Data were analysed using thematic analysis. <SCRIPT language='JavaScript1.1' SRC=""https://ad.doubleclick.net/ddm/adj/N636.1248839.SWOOP/B28088550.344987881;abr=!ie;sz=728x90;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=;gdpr=${GDPR};gdpr_consent=${GDPR_CONSENT_755}?""> </SCRIPT> Results Participants were 42 health professionals; n=25 nurses and n=17 doctors. Themes relating to decisions to use antipsychotic medication were: safety; a last resort; nursing workload; a dilemma to medicate; and anticipating worsening behaviours. Nurses and doctors described experiencing pressures when trying to manage hyperactive behaviours. Safety was a major concern leading to the decision to use antipsychotics. Antipsychotics were often used as chemical restraints to ‘sedate’ a patient with delirium because nurses ‘can’t do their job’. Results also indicated that nurses had influence over doctors’ decisions despite nurses being unaware of this influence. Health professionals’ descriptions are illustrated in a decision-making flowchart that identifies how nurses and doctors navigated decisions regarding prescription and administration of antipsychotic medications. Conclusions The decision to prescribe and administer antipsychotic medications for people with delirium is complex as nurses and doctors must navigate multiple factors before making the decision. Collaborative support and multidisciplinary teamwork are required by both nurses and doctors to optimally care for people with delirium. Decision-making support for nurses and doctors may also help to navigate the multiple factors that influence the decision to prescribe antipsychotics.",0
10,"Background Delirium in the intensive care unit (ICU) is associated with increased mortality, longer hospital stays, and increased odds of institutionalization after discharge. Delirium is a significant complication that occurs frequently in ICU yet lacks a standardized treatment protocol. Because of the limited effective pharmacologic treatments available for the management of delirium, non-pharmacologic interventions such as early mobilization, earplugs and blinds at night, music and natural sunlight during the day, continuous reorientation, and increased visitation and family participation are essential to integrate into the treatment plan for the management of delirium in the ICU. Aim To summarize evidence on the use of non-pharmacologic interventions for the reduction in incidence and duration of delirium in ICU patients and to integrate qualitative studies that explore the perception of delirium in the ICU from staff and patients' families to support the use of non-pharmacologic interventions. Methods For this integrative review, electronic databases PubMed, EMBASE, and Google Scholar were searched using the guidance of a librarian and second reviewer to find qualitative and quantitative studies that were published after 2005 and involved adult patients in the ICU. Conclusion Eight quantitative articles and four qualitative articles were chosen to be included in this review. All eight quantitative studies provide significant evidence (P < .05) for the efficacy of their interventions to provide benefit to at least one delirium-related outcome. The four qualitative research studies reviewed provide insight on delirium in the ICU from staff and patients' families who share a desire for the use of effective non-pharmacologic interventions. Relevance to clinical practice Non-pharmacologic interventions used for patients in the ICU may be efficacious in reducing the incidence and duration of delirium in adults. Non-pharmacologic interventions are feasible and supported by ICU staff and patients' families and should be considered in the care of the critically ill patient.",0
