abstract,fus_related
"OBJECTIVES: To assess the comparative safety and effectiveness of two prostate cancer treatment ablation modalities-irreversible electroporation (IRE) and high-intensity focused ultrasound (HIFU).  METHODS: Two systematic literature reviews (SLRs) and meta-analyses (MAs) on IRE and HIFU were conducted in accordance with PRISMA guidelines. Searches were conducted in PubMed and EMBASE. Independent reviewers assessed literature eligibility and abstracted safety and effectiveness data. Oncological, safety, functional, and quality of life (QOL) outcomes were examined for each technology. MAs were conducted where data quality and availability allowed, using normal methods and a random/mixed effects model, and quality assessments performed. RESULTS: Fifty-five publications (n=22 IRE; n=33 HIFU) were included in the SLRs, and MAs were conducted on negative in-field post-procedure biopsy, prostate-specific antigen (PSA) level reduction, potency, urinary continence, and AE rate outcomes. MAs revealed that IRE patients had lower mean percent PSA level reductions, higher mean rates of in-field negative post-treatment biopsy, and higher rates of potency maintenance than HIFU patients. Most adverse events (AEs) reported were comparable and minor (Grades I, II), with urinary tract infection, dysuria, hematuria, and incontinence or urgency most frequently reported. The proportion of patients experiencing a severe AE (≥Grade III) ranged from 0 to 8% after IRE and HIFU. Both modalities were associated with positive functional outcomes as well as maintenance of QOL after treatment. CONCLUSIONS: Both IRE and HIFU were found to produce favorable effectiveness outcomes and have low complication rates while minimally impacting patient urinary and erectile function and maintaining overall QOL. These real-world findings can help guide clinical decision making and improve disease management for patients with prostate cancer.",0
"With an ever-growing list of neurological applications of focused ultrasound (FUS), there has been a consequent increase in the variety of systems for delivering ultrasound energy to the brain. Specifically, recent successful pilot clinical trials of blood-brain barrier (BBB) opening with FUS have generated substantial interest in the future applications of this relatively novel therapy, with divergent, purpose-built technologies emerging. With many of these technologies at various stages of pre-clinical and clinical investigation, this article seeks to provide an overview and analysis of the numerous medical devices in active use and under development for FUS-mediated BBB opening.",0
"We report a patient with tremor-dominant Parkinson's disease who had a mild cavitation bioeffect during magnetic resonance-guided focused ultrasound thalamotomy. During the aligning phase with low-energy sonication, cavitation caused mild dysarthria and paresthesia, prompting treatment cessation. At the same time, tremor and rigidity improved. MRI revealed extensive high-intensity lesions in the thalamus 1 day after the procedure followed by steroid infusion, which resulted in resolution of adverse events. Tremor and rigidity improved 1.5 years after the procedure. Although cavitation can relieve tremors and rigidity, it should be carefully monitored due to potential permanent adverse events by unpredictable and unknown behaviors.",0
"BACKGROUND: Herein, a robotic system offering Magnetic Resonance-guided Focused Ultrasound (MRgFUS) therapy of thyroid nodules was developed. METHODS: The robotic system offers linear motion in 2 PC-controlled axes that navigate a 3 MHz single-element focused transducer. The system, through a C-arm structure attaches to the table of Magnetic Resonance Imaging (MRI) scanners and couples to the neck of patients lying in the supine position. The MRI compatibility of the developed system was assessed inside a 3 T scanner. Benchtop and MRI feasibility studies evaluating the heating performance of the system were executed on excised pork tissue and on homogeneous and thyroid model agar-based phantoms. RESULTS: The MRI compatibility of the system was successfully established. Grid sonications executed using robotic motion inflicted discrete and overlapping lesions on the excised tissue, while magnetic resonance (MR) thermometry successfully monitored thermal heating in agar-based phantoms. CONCLUSIONS: The developed system was found to be efficient with ex-vivo evaluation. The system can perform clinical MRgFUS therapy of thyroid nodules and other shallow targets after further in-vivo evaluation.",0
"BACKGROUND: Focused ultrasound (FUS) is a medical technology that non-invasively stimulates the brain and has been applied in thermal ablation, blood-brain barrier (BBB) opening, and neuromodulation. In recent years, numerous experiences and indications for the use of FUS in clinical and preclinical studies have rapidly expanded. Focused ultrasound-mediated BBB opening induces cognitive enhancement and neurogenesis; however, the underlying mechanisms have not been elucidated. METHODS: Here, we investigate the effects of FUS-mediated BBB opening on hippocampal long-term potentiation (LTP) and cognitive function in a 5xFAD mouse model of Alzheimer's disease (AD). We applied FUS with microbubble to the hippocampus and LTP was measured 6 weeks after BBB opening using FUS. Field recordings were made with a concentric bipolar electrode positioned in the CA1 region using an extracellular glass pipette filled with artificial cerebrospinal fluid. Morris water maze and Y-maze was performed to test cognitive function. RESULTS: Our results demonstrated that FUS-mediated BBB opening has a significant impact on increasing LTP at Schaffer collateral - CA1 synapses and rescues cognitive dysfunction and working memory. These effects persisted for up to 7 weeks post-treatment. Also, FUS-mediated BBB opening in the hippocampus increased PKA phosphorylation. CONCLUSION: Therefore, it could be a promising treatment for neurodegenerative diseases as it remarkably increases LTP, thereby improving working memory.",0
"Hepatocellular carcinoma (HCC) is one of the most common digestive malignancies. HCC It ranges as the fifth most common cause of cancer mortality worldwide. While The prognosis of metastatic or advanced HCC is still quite poor. Recently, locoregional treatment, especially local ablation therapies, plays an important role in the treatment of HCC. Radiofrequency ablation (RFA) and high-intensity focused ultrasound (HIFU) ablation are the most common-used methods effective and feasible for treating HCC. However, the molecular mechanisms underlying the actions of ablation in the treatments for HCC and the HCC recurrence after ablation still are poorly understood. Hypoxia-inducible factor (HIF), the key gene switch for adaptive responses to hypoxia, has been found to play an essential role in the rapid aggressive recurrence of HCC after ablation treatment. In this review, we summarized the current evidence of the roles of HIF in the treatment of HCC with ablation. Fifteen relevant studies were included and further analyzed. Among them, three clinical studies suggested that HIF-1α might serve as a crucial role in the RAF treatment of HCC or the local recurrence of HCC after RFA. The remainder included experimental studies demonstrated that HIF-1, 2α might target the different molecules (e.g., BNIP3, CA-IX, and arginase-1) and signaling cascades (e.g., VEGFA/EphA2 pathway), constituting a complex network that promoted HCC invasion and metastasis after ablation. Currently, the inhibitors of HIF have been developed, providing important proof of targeting HIF for the prevention of HCC recurrence after IRFA and HIFU ablation. Further confirmation by prospective clinical and in-depth experimental studies is still warranted to illustrate the effects of HIF in HCC recurrence followed ablation treatment in the future.",0
"INTRODUCTION: Magnetic resonance-guided focused ultrasound (MRgFUS) represents an incisionless treatment option for essential or parkinsonian tremor. The incisionless nature of this procedure has garnered interest from both patients and providers. As such, an increasing number of centers are initiating new MRgFUS programs, necessitating development of unique workflows to optimize patient care and safety. Herein, we describe establishment of a multi-disciplinary team, workflow processes, and outcomes for a new MRgFUS program. METHODS: This is a single-academic center retrospective review of 116 consecutive patients treated for hand tremor between 2020 and 2022. MRgFUS team members, treatment workflow, and treatment logistics were reviewed and categorized. Tremor severity and adverse events were evaluated at baseline, 3, 6, and 12 months post-MRgFUS with the Clinical Rating Scale for Tremor Part B (CRST-B). Trends in outcome and treatment parameters over time were assessed. Workflow and technical modifications were noted. RESULTS: The procedure, workflow, and team members remained consistent throughout all treatments. Technique modifications were attempted to reduce adverse events. A significant reduction in CRST-B score was achieved at 3 months (84.5%), 6 months (79.8%), and 12 months (72.2%) post-procedure (p < 0.0001). The most common post-procedure adverse events in the acute period (<1 day) were gait imbalance (61.1%), fatigue and/or lethargy (25.0%), dysarthria (23.2%), headache (20.4%), and lip/hand paresthesia (13.9%). By 12 months, the majority of adverse events had resolved with a residual 17.8% reporting gait imbalance, 2.2% dysarthria, and 8.9% lip/hand paresthesia. No significant trends in treatment parameters were found. CONCLUSIONS: We demonstrate the feasibility of establishing an MRgFUS program with a relatively rapid increase in evaluation and treatment of patients while maintaining high standards of safety and quality. While efficacious and durable, adverse events occur and can be permanent in MRgFUS.",0
"PURPOSE: In high-intensity focused ultrasound (HIFU) treatment of the kidney and liver, tracking the organs is essential because respiratory motions make continuous cauterization of the affected area difficult and may cause damage to other parts of the body. In this study, we propose a tracking system for rotational scanning, and propose and evaluate a method for estimating the angles of organs in ultrasound images. METHODS: We proposed AEMA, AEMAD, and AEMAD++ as methods for estimating the angles of organs in ultrasound images, using RUDS and a phantom to acquire 90-degree images of a kidney from the long-axis image to the short-axis image as a data set. Six datasets were used, with five for preliminary preparation and one for testing, while the initial position was shifted by 2 mm in the contralateral axis direction. The test data set was evaluated by estimating the angle using each method. RESULTS: The accuracy and processing speed of angle estimation for AEMA, AEMAD, and AEMAD++ were 23.8% and 0.33 FPS for AEMAD, 32.0% and 0.56 FPS for AEMAD, and 29.5% and 3.20 FPS for AEMAD++, with tolerance of ± 2.5 degrees. AEMAD++ offered the best speed and accuracy. CONCLUSION: In the phantom experiment, AEMAD++ showed the effectiveness of tracking the long-axis image of the kidney in rotational scanning. In the future, we will add either the area of surrounding organs or the internal structure of the kidney as a new feature to validate the results.",0
"Luminol is a classic electrochemiluminescence (ECL) luminophore. The luminol-O2 ECL system suffers from a problem, that is, the conversion rate of dissolved O2 into reactive oxygen species (ROS) is low. In this work, we used high-intensity focused ultrasound (HIFU) pretreatment combined with Ti3C2-TiO2 to construct a highly sensitive luminol-O2 ECL system for the specific detection of polynucleotide kinase (PNK) first. On the one hand, HIFU generated ROS in situ as a coreactant via the cavitation effect to boost the luminol emission. On the other hand, Ti3C2-TiO2 was prepared in situ via Ti3C2 as a reducing agent, and it can aggregate and catalyze ROS generated in situ by HIFU. Moreover, the Ti on the Ti3C2-TiO2 surface could bind to phosphate groups through chelation, thereby realizing highly specific detection of PNK. The sensor has a linear relationship range of 1.0 × 10-5 to 10.0 U mL-1, and the limit of detection is 1.48 × 10-7 U mL-1, which is superior to most existing methods. The sensor performance in HeLa cell lysate was measured with a satisfactory result. The designed ECL biosensor has potential applications in biological analysis and clinical diagnosis.",0
"TiO2 is the most commonly used photocatalyst in water treatment. The particle size of TiO2 is an important factor that significantly influences its activity during photocatalytic degradation. In the presence of liquid, the properties of nanopowders composed of exactly the same product clearly differ according to their aggregation size. In this study, TiO2 nanoparticles with a controlled size were fabricated by focused ultrasound dispersion. The high energy generated by this system was used to control the size of TiO2 particles in the suspension. The constant high energy released by cavitation enabled the dispersion of the particles without a surfactant. The activities of the prepared TiO2 photocatalysts for methylene blue (MB) degradation were then compared. The dye degradation effect of the photocatalyst was as high as 61.7% after 10 min when the size of the powder was controlled in the solution, but it was only as high as 41.0% when the aggregation size was not controlled. Furthermore, when the TiO2 concentration exceeded a certain level, the photocatalytic activity of TiO2 decreased. Controlling the size of the aggregated photocatalyst particles is, therefore, essential in water-treatment technologies utilizing TiO2 photocatalytic properties, and adjusting the TiO2 concentration is an important economic factor in this photocatalytic technology. This study contributes to the development of processes for degrading dyes, such as MB, released from wastewater into aquatic environments.",0
