"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AYSSQR9Y","journalArticle","2022","Hendley, Samuel A.; Bhargava, Aarushi; Holland, Christy K.; Wool, Geoffrey D.; Ahmed, Osman; Paul, Jonathan D.; Bader, Kenneth B.","(More than) doubling down: Effective fibrinolysis at a reduced rt-PA dose for catheter-directed thrombolysis combined with histotripsy.","PloS one","","1932-6203","10.1371/journal.pone.0261567","","Deep vein thrombosis is a major source of morbidity and mortality worldwide. For acute proximal deep vein thrombosis, catheter-directed thrombolytic therapy is an  accepted method for vessel recanalization. Thrombolytic therapy is not without  risk, including the potential for hemorrhagic bleeding that increases with lytic  dose. Histotripsy is a focused ultrasound therapy that generates bubble clouds  spontaneously in tissue at depth. The mechanical activity of histotripsy  increases the efficacy of thrombolytic therapy at doses consistent with current  pharmacomechanical treatments for venous thrombosis. The objective of this study  was to determine the influence of lytic dose on histotripsy-enhanced  fibrinolysis. Human whole blood clots formed in vitro were exposed to histotripsy  and a thrombolytic agent (recombinant tissue plasminogen activator, rt-PA) in a  venous flow model perfused with plasma. Lytic was administered into the clot via  an infusion catheter at concentrations ranging from 0 (control) to 4.54 μg/mL (a  common clinical dose for catheter-directed thrombolysis). Following treatment,  perfusate samples were assayed for markers of fibrinolysis, hemolysis, and intact  red blood cells and platelets. Fibrinolysis was equivalent between the common  clinical dose of rt-PA (4.54 μg/mL) and rt-PA at a reduction to one-twentieth of  the common clinical dose (0.23 μg/mL) when combined with histotripsy. Minimal  changes were observed in hemolysis for treatment arms with or without  histotripsy, potentially due to clot damage from insertion of the infusion  catheter. Likewise, histotripsy did not increase the concentration of red blood  cells or platelets in the perfusate following treatment compared to rt-PA alone.  At the highest lytic dose, a refined histotripsy exposure scheme was implemented  to cover larger areas of the clot. The updated exposure scheme improved clot mass  loss and fibrinolysis relative to administration of lytic alone. Overall, the  data collected in this study indicate the rt-PA dose can be reduced by more than  a factor of ten and still promote fibrinolysis when combined with histotripsy.","2022","2024-03-06 17:11:49","2024-03-06T17:11:49Z","","e0261567","","1","17","","PLoS One","","","","","","","","eng","","","","","","","PMID: 34982784  PMCID: PMC8726487","","","","Blood Platelets/chemistry; Catheters; Erythrocytes/chemistry; Fibrinolysis/*drug effects; Fibrinolytic Agents/*pharmacology/therapeutic use; Hemoglobins/chemistry; Humans; In Vitro Techniques; Recombinant Proteins/biosynthesis/isolation & purification/pharmacology/therapeutic use; Thrombolytic Therapy/*methods; Tissue Plasminogen Activator/genetics/metabolism/*pharmacology/therapeutic use; Venous Thrombosis/drug therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A64Y2YW3","journalArticle","2023","Liao, L.; Xu, Y. H.; Bai, J.; Zhan, P.; Zhou, J.; Li, M. X.; Zhang, Y.","MRI parameters for predicting the effect of ultrasound-guided high-intensity focused ultrasound in the ablation of uterine fibroids.","Clinical radiology","","1365-229X 0009-9260","10.1016/j.crad.2022.09.112","","AIM: To study the value of magnetic resonance imaging (MRI) parameters in predicting the efficacy of ultrasonic ablation of fibroids. MATERIALS AND  METHODS: A total of 91 patients were divided into groups based on non-perfused  volume (NPV) ratio and blood supply type. The preoperative MRI parameters were  measured and analysed. A correlation analysis between the MRI parameters and the  NPV ratio was performed. Receiver operating characteristic (ROC) curves were used  to analyse and determine the cut-off value of MRI parameters to predict the  ablation rate of fibroids. RESULTS: The uterine fibroids group with an NPV ratio  <80% and the group with an NPV ratio of ≥80% had significant differences in  signal intensity (SI) at MRI T2-weighted imaging (WI), fibroid-to-rectus  abdominis SI ratio (SIR) at T2WI, and blood supply type (p<0.05). There were no  significant differences in fibroid volume, T2WI signal uniformity, and apparent  diffusion coefficient (ADC) values. The ADC value and SI and SIR at MRI T2WI in  the group with poor blood supply were lower than those in the group with a rich  blood supply (p<0.05). SI at MRI T2WI correlated negatively with the NPV ratio.  The cut-off values for SI and SIR at MRI T2WI of fibroids whose NPV ratio exceeds  80% were 220.58 and 1.315, respectively. CONCLUSION: SI at MRI T2WI and blood  supply type could be predictors of the efficacy of ablation. Ultrasonic ablation  of fibroids with MRI T2WI hyperintensity and a rich blood supply had poor  efficacy.","2023-01","2024-03-06 17:11:43","2024-03-06T17:11:43Z","","61-69","","1","78","","Clin Radiol","","","","","","","","eng","Copyright © 2022 The Royal College of Radiologists. Published by Elsevier Ltd. All rights reserved.","","","","","","Place: England PMID: 36241567","","","","*High-Intensity Focused Ultrasound Ablation/methods; *Leiomyoma/diagnostic imaging/surgery/pathology; *Uterine Neoplasms/diagnostic imaging/surgery; Female; Humans; Magnetic Resonance Imaging; Treatment Outcome; Ultrasonography, Interventional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2M4JGTAH","journalArticle","2022","Bazzocchi, Alberto; Aparisi Gómez, Maria Pilar; Taninokuchi Tomassoni, Makoto; Napoli, Alessandro; Filippiadis, Dimitrios; Guglielmi, Giuseppe","Musculoskeletal oncology and thermal ablation: the current and emerging role of interventional radiology","Skeletal Radiology","","1432-2161","10.1007/s00256-022-04213-3","","The role of interventional radiology (IR) is expanding. With new techniques being developed and tested, this radiology subspecialty is taking a step forward in different clinical scenarios, especially in oncology. Musculoskeletal tumoral diseases would definitely benefit from a low-invasive approach that could reduce mortality and morbidity in particular. Thermal ablation through IR has already become important in the palliation and consolidation of bone metastases, oligometastatic disease, local recurrences, and treating specific benign tumors, with a more tailored approach, considering the characteristics of every patient. As image-guided ablation techniques lower their invasiveness and increase their efficacy while the collateral effects and complications decrease, they become more relevant and need to be considered in patient care pathways and clinical management, to improve outcomes. We present a literature review of the different percutaneous and non-invasive image-guided thermal ablation methods that are currently available and that could in the future become relevant to manage musculoskeletal oncologic diseases.","2022-11-08","2024-03-06 17:11:38","2024-03-06T17:11:38Z","","","","","","","Skeletal Radiol","Musculoskeletal oncology and thermal ablation","","","","","","","eng","","","","","PubMed","","PMID: 36346453","","","","*Ablation Techniques/methods; *Bone Neoplasms/diagnostic imaging/surgery/secondary; *Catheter Ablation/methods; Ablation techniques; Bone metastases; Bone neoplasms; Cementoplasty; Cryoablation; Desmoid tumour; High-intensity focused ultrasound; Humans; MRgFUS; Osteoblastoma; Osteoid osteoma; Palliative Care/methods; Radiofrequency ablation; Radiology, Interventional/methods; Radiology, interventional; Soft tissue neoplasms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"594CFDY8","journalArticle","2022","Glickstein, Bar; Levron, Mika; Shitrit, Sarah; Aronovich, Ramona; Feng, Yi; Ilovitsh, Tali","Nanodroplet-Mediated Low-Energy Mechanical Ultrasound Surgery.","Ultrasound in medicine & biology","","1879-291X 0301-5629","10.1016/j.ultrasmedbio.2022.02.018","","Mechanical ultrasound surgery methods use short, high-intensity pulses to fractionate tissues. This study reports the development of a two-step technology  for low-energy mechanical ultrasound surgery of tissues using nanodroplets to  reduce the pressure threshold. Step 1 consists of vaporizing the nanodroplets  into gaseous microbubbles via megahertz ultrasound excitation. Then,  low-frequency ultrasound is applied to the microbubbles, which turns them into  therapeutic warheads that trigger potent mechanical effects in the surrounding  tissue. The use of nanoscale nanodroplets coupled with low-frequency ultrasound  reduces the pressure threshold required for mechanical ultrasound surgery by an  order of magnitude. In addition, their average diameter of 300 nm can overcome  challenges associated with the size of microbubbles. Optimization experiments  were performed to determine the ultrasound parameters for nanodroplet  vaporization and the subsequent microbubble implosion processes. Optimal  vaporization was obtained when transmitting a 2-cycle excitation pulse at a  center frequency of 5 MHz and a peak negative pressure of 4.1 MPa (mechanical  index = 1.8). Low-frequency insonation of the generated microbubbles at a center  frequency of 850, 250 or 80 kHz caused enhanced contrast reduction at a center  frequency of 80 kHz, compared with the other frequencies, while operating at the  same mechanical index of 0.9. Nanodroplet-mediated insonation of ex vivo chicken  liver samples generated mechanical damage. Low-frequency treatment at a  mechanical index of 0.9 and a center frequency of 80 kHz induced the largest  lesion area (average of 0.59 mm(2)) compared with 250- and 850-kHz treatments  with the same mechanical index (average lesions areas of 0.29 and 0.19 mm(2),  respectively, p < 0.001). The two-step approach makes it possible to conduct both  the vaporization and implosion stages at mechanical indices below 1.9, thus  avoiding undesired mechanical damage. The findings indicate that coupled with  low-frequency ultrasound, nanodroplets can be used for low-energy mechanical  ultrasound surgery.","2022-07","2024-03-06 17:11:37","2024-03-06T17:11:37Z","","1229-1239","","7","48","","Ultrasound Med Biol","","","","","","","","eng","Copyright © 2022 World Federation for Ultrasound in Medicine & Biology. Published by Elsevier Inc. All rights reserved.","","","","","","Place: England PMID: 35351316","","","","*Microbubbles; Focused ultrasound; Histotripsy; Low-frequency insonation; Mechanical ablation; Nanodroplets; Ultrasonography; Volatilization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9PQSA7FR","journalArticle","2022","Lin, Sue-Jin; Rodriguez-Rojas, Rafael; Baumeister, Tobias R.; Lenglos, Christophe; Pineda-Pardo, Jose A.; Máñez-Miró, Jorge U.; Del Alamo, Marta; Martinez-Fernandez, Raul; Obeso, Jose A.; Iturria-Medina, Yasser","Neuroimaging signatures predicting motor improvement to focused ultrasound subthalamotomy in Parkinson's disease.","NPJ Parkinson's disease","","2373-8057","10.1038/s41531-022-00332-9","","Subthalamotomy using transcranial magnetic resonance-guided focused ultrasound (tcMRgFUS) is a novel and promising treatment for Parkinson's Disease (PD). In  this study, we investigate if baseline brain imaging features can be early  predictors of tcMRgFUS-subthalamotomy efficacy, as well as which are the  post-treatment brain changes associated with the clinical outcomes. Towards this  aim, functional and structural neuroimaging and extensive clinical data from  thirty-five PD patients enrolled in a double-blind tcMRgFUS-subthalamotomy  clinical trial were analyzed. A multivariate cross-correlation analysis revealed  that the baseline multimodal imaging data significantly explain (P < 0.005,  FWE-corrected) the inter-individual variability in response to treatment. Most  predictive features at baseline included neural fluctuations in distributed  cortical regions and structural integrity in the putamen and parietal regions.  Additionally, a similar multivariate analysis showed that the population variance  in clinical improvements is significantly explained (P < 0.001, FWE-corrected) by  a distributed network of concurrent functional and structural brain changes in  frontotemporal, parietal, occipital, and cerebellar regions, as opposed to local  changes in very specific brain regions. Overall, our findings reveal specific  quantitative brain signatures highly predictive of tcMRgFUS-subthalamotomy  responsiveness in PD. The unanticipated weight of a  cortical-subcortical-cerebellar subnetwork in defining clinical outcome extends  the current biological understanding of the mechanisms associated with clinical  benefits.","2022-06-03","2024-03-06 17:11:33","2024-03-06T17:11:33Z","","70","","1","8","","NPJ Parkinsons Dis","","","","","","","","eng","© 2022. The Author(s).","","","","","","PMID: 35665753  PMCID: PMC9166695","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XIEXJXLU","journalArticle","2022","Jung, Olive; Thomas, Alec; Burks, Scott R.; Dustin, Michael L.; Frank, Joseph A.; Ferrer, Marc; Stride, Eleanor","Neuroinflammation associated with ultrasound-mediated permeabilization of the blood-brain barrier.","Trends in neurosciences","","1878-108X 0166-2236","10.1016/j.tins.2022.03.003","","The blood-brain barrier (BBB) continues to represent one of the most significant challenges for successful drug-based treatments of neurological disease.  Mechanical modulation of the BBB using focused ultrasound (FUS) and microbubbles  (MBs) has shown considerable promise in enhancing the delivery of therapeutics to  the brain, but questions remain regarding possible long-term effects of such  forced disruption. This review examines the evidence for inflammation associated  with ultrasound-induced BBB disruption and potential strategies for managing such  inflammatory effects to improve both the efficacy and safety of therapeutic  ultrasound in neurological applications.","2022-06","2024-03-06 17:11:32","2024-03-06T17:11:32Z","","459-470","","6","45","","Trends Neurosci","","","","","","","","eng","Copyright © 2022 The Authors. Published by Elsevier Ltd.. All rights reserved.","","","","","","PMID: 35461727  PMCID: PMC9117477","","","","*Blood-Brain Barrier; *Neuroinflammatory Diseases; Biological Transport; Brain; Humans; Magnetic Resonance Imaging; Microbubbles; blood–brain barrier; cavitation; focused ultrasound; immunomodulation; immunoprivilege; microbubbles; neurological disease; neurovasculature; sterile inflammation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8TMTJEU4","journalArticle","2022","Nguyen, Duc T.; Berisha, Destiny E.; Konofagou, Elisa E.; Dmochowski, Jacek P.","Neuronal responses to focused ultrasound are gated by pre-stimulation brain rhythms.","Brain stimulation","","1876-4754","10.1016/j.brs.2022.01.002","","BACKGROUND: Owing to its high spatial resolution and penetration depth, transcranial focused ultrasound stimulation (tFUS) is one of the most promising  approaches to non-invasive neuromodulation. Identifying the impact of endogenous  neural activity on neuromodulation outcome is critical to harnessing the  potential of tFUS. OBJECTIVE: Here we sought to identify the relationship between  pre-stimulation neural activity and the neuronal response to tFUS. METHODS: We  applied 3 min of continuous-wave tFUS to the hippocampal region of the rat while  recording local field potentials (LFP) and multi-unit activity (MUA) from the  target. We also tested the application of tFUS but with an air gap separating the  transducer and the skull, as well as active stimulation of the contralateral  olfactory bulb. RESULTS: We observed a modest but significant increase in firing  rate during hippocampal tFUS, but not during stimulation of the olfactory bulb or  when an air gap was present. Importantly, the observed firing rate increase was  significantly modulated by the power of baseline oscillations in the LFP, with  low levels of delta (1-3 Hz) and high levels of theta (4-10 Hz) and gamma  (30-250 Hz) power producing significantly larger firing rate increases. Firing  rate increases were also amplified by a factor of 7× when stimulation was applied  during periods of frequent sharp-wave ripple (SWR) activity. CONCLUSION: Our  findings suggest that baseline brain rhythms may effectively ""gate"" the response  to tFUS.","2022-02","2024-03-06 17:11:31","2024-03-06T17:11:31Z","","233-243","","1","15","","Brain Stimul","","","","","","","","eng","Copyright © 2022. Published by Elsevier Inc.","","","","","","Place: United States PMID: 34990877","","","","*Brain Mapping; *Brain/physiology; *Focused ultrasound stimulation; *Non-invasive brain stimulation; *Transcranial focused ultrasound stimulation; *Ultrasonic neuromodulation; Animals; Focused ultrasound stimulation; Head; Non-invasive brain stimulation; Rats; Transcranial focused ultrasound stimulation; Transducers; Ultrasonic neuromodulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YKEXRJ63","journalArticle","2022","Koga, Shunsuke; Ishaque, Mariam; Jeffrey Elias, W.; Shah, Binit B.; Murakami, Aya; Dickson, Dennis W.","Neuropathology of Parkinson's disease after focused ultrasound thalamotomy.","NPJ Parkinson's disease","","2373-8057","10.1038/s41531-022-00319-6","","Focused ultrasound (FUS) thalamotomy is an emerging treatment for tremor-dominant Parkinson's disease (PD). We report the first postmortem neuropathologic study of  FUS thalamotomy in a 68-year-old man with tremor-dominant PD, which was performed  seven months before he died. Although the peak voxel temperature at the target  was <54 °C, his tremor improved on intraoperative and postoperative assessments.  Additionally, postoperative MRI demonstrated a thalamic lesion. Lewy body-related  pathology consistent with PD was detected. There was also a 5-mm lesion in the  ventral lateral thalamus characterized by demyelination and neuropil loss, with  many lipid-laden macrophages, but no lymphocytic infiltrates and relatively  preserved neurons and axons. Additional pathological assessments after FUS  thalamotomy are needed to determine if the observed brain changes are typical of  this procedure.","2022-05-12","2024-03-06 17:11:30","2024-03-06T17:11:30Z","","59","","1","8","","NPJ Parkinsons Dis","","","","","","","","eng","© 2022. The Author(s).","","","","","","PMID: 35550514  PMCID: PMC9098516","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FT2YQ4RW","journalArticle","2022","Vion-Bailly, Jérémy; Suarez-Castellanos, Ivan M.; Chapelon, Jean-Yves; Carpentier, Alexandre; N'Djin, W. Apoutou","Neurostimulation success rate of repetitive-pulse focused ultrasound in an in vivo giant axon model: An acoustic parametric study.","Medical physics","","2473-4209 0094-2405","10.1002/mp.15358","","PURPOSE: Focused ultrasound (FUS) is a promising tool to develop new modalities of therapeutic neurostimulation. The ability of FUS to stimulate the nervous  system, in a noninvasive and spatiotemporally precise manner, has been  demonstrated in animals and human subjects, but the underlying biomechanisms are  not fully understood yet. The objective of the present study was to investigate  the bioeffects involved in the generation of trains of action potentials (APs) by  repetitive-pulse FUS stimuli in a simple invertebrate neural model. METHODS: The  respective influences of different acoustic parameters on the neurostimulation  success rate (NSR), defined as the rate of FUS stimuli capable of evoking at  least one AP, were explored using the system of afferent nerves and giant fibers  of Lumbricus terrestris as neural model. Each parameter was studied independently  by administering random FUS sequences while keeping all but one FUS parameter  constant. The NSR was evaluated as a function of (i) the spatial-average  pulse-average intensity (I(sapa) ); (ii) the pulse duration (PD); (iii) the pulse  repetition frequency (PRF); iv) the number of cycles per pulse (N(cycles) ); (v)  two ultrasound frequencies, f(0)  = 1.1 MHz and f(3)  = 3.3 MHz, corresponding to  the fundamental and third-harmonic resonant frequencies of the FUS transducer,  respectively (spherical, radius of curvature: 50 mm); and (vi) levels of emerging  stable cavitation and inertial cavitation. RESULTS: The NSR associated to 1.1 MHz  repetitive-pulse FUS stimuli was found to increase as a function of increasing  I(sapa) , PD, PRF, and N(cycles) . When evaluating each parameter at f = 1.1 MHz,  it was observed that NSRs close to 100% were achieved when sufficiently elevating  their respective values. When computing the NSR as a function of the  spatial-average, temporal-average intensity (I(sata) ), defined as the product of  PRF, PD, and I(sapa) , a significant elevation of the NSR from 0% to close to  100% was measured by increasing I(sata) from values approximate to 4 W/cm(2) to  values higher than 12 W/cm(2) . No clear and consistent trend was observed in  trials aimed at exploring the effects of different levels of stable and inertial  acoustic cavitation on the NSR. Finally, the feasibility of inducing neural  responses with 3.3 MHz repetitive-pulse FUS stimuli was also demonstrated with  NSRs reaching up to 60%, in the range of FUS parameters studied. CONCLUSION: The  time-averaged value of the radiation force per unit volume of tissue is  proportional to the acoustic intensity. As a result, the observations from this  study suggest that the neural structure responding to the stimulus is sensitive  to the mean radiation force carried by the FUS sequence, regardless of the  combination of FUS parameters giving rise to such force. The results from this  study further revealed the existence of a minimal activation threshold with  regard to I(sapa) .","2022-01","2024-03-06 17:11:29","2024-03-06T17:11:29Z","","682-701","","1","49","","Med Phys","","","","","","","","eng","© 2021 American Association of Physicists in Medicine.","","","","","","Place: United States PMID: 34796512","","","","*Acoustics; *Axons; Animals; Humans; NSR optimization; Sound; Transducers; Ultrasonography; causal neurostimulation; in vivo giant axon; parametric study; repetitive FUS pulses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KF9S6VNS","journalArticle","2022","Stefani, Alessandro; Pierantozzi, Mariangela; Cardarelli, Silvia; Stefani, Lucrezia; Cerroni, Rocco; Conti, Matteo; Garasto, Elena; Mercuri, Nicola B.; Marini, Carmine; Sucapane, Patrizia","Neurotrophins as Therapeutic Agents for Parkinson's Disease; New Chances From Focused Ultrasound?","Frontiers in neuroscience","","1662-4548 1662-453X","10.3389/fnins.2022.846681","","Magnetic Resonance-guided Focused Ultrasound (MRgFUS) represents an effective micro-lesioning approach to target pharmaco-resistant tremor, mostly in patients  afflicted by essential tremor (ET) and/or Parkinson's disease (PD). So far,  experimental protocols are verifying the clinical extension to other facets of  the movement disorder galaxy (i.e., internal pallidus for disabling dyskinesias).  Aside from those neurosurgical options, one of the most intriguing opportunities  of this technique relies on its capability to remedy the impermeability of  blood-brain barrier (BBB). Temporary BBB opening through low-intensity focused  ultrasound turned out to be safe and feasible in patients with PD, Alzheimer's  disease, and amyotrophic lateral sclerosis. As a mere consequence of the  procedures, some groups described even reversible but significant mild cognitive  amelioration, up to hippocampal neurogenesis partially associated to the  increased of endogenous brain-derived neurotrophic factor (BDNF). A further  development elevates MRgFUS to the status of therapeutic tool for drug delivery  of putative neurorestorative therapies. Since 2012, FUS-assisted intravenous  administration of BDNF or neurturin allowed hippocampal or striatal delivery.  Experimental studies emphasized synergistic modalities. In a rodent model for  Huntington's disease, engineered liposomes can carry glial cell line-derived  neurotrophic factor (GDNF) plasmid DNA (GDNFp) to form a GDNFp-liposome  (GDNFp-LPs) complex through pulsed FUS exposures with microbubbles; in a subacute  MPTP-PD model, the combination of intravenous administration of neurotrophic  factors (either through protein or gene delivery) plus FUS did curb nigrostriatal  degeneration. Here, we explore these arguments, focusing on the current,  translational application of neurotrophins in neurodegenerative diseases.","2022","2024-03-06 17:11:28","2024-03-06T17:11:28Z","","846681","","","16","","Front Neurosci","","","","","","","","eng","Copyright © 2022 Stefani, Pierantozzi, Cardarelli, Stefani, Cerroni, Conti, Garasto, Mercuri, Marini and Sucapane.","","","","","","PMID: 35401084  PMCID: PMC8990810","","","","BBB; MRgFUS; movement disorders; neurodegeneration; neurotrophins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
